Index,Dose,Measure,Time
0, 1, 0.0051999999999999794, 4320
1, 2, 0.12399999999999996, 4320
2, 4, 0.676, 4320
3, 1, 0.04400000000000001, 2880
4, 2, 0.2839999999999999, 2880
5, 4, 1.028, 2880
6, 1, 0.047999999999999766, 4320
7, 2, 0.15999999999999991, 4320
8, 4, 0.9080000000000001, 4320
9, 1, 0.04790874524714823, 4320
10, 2, 0.12547528517110268, 4320
11, 4, 0.3262357414448669, 4320
12, 1, 0.020532319391634996, 2880
13, 2, 0.10266159695817488, 2880
14, 4, 0.5155893536121673, 2880
15, 1, 0.020532319391634996, 2880
16, 2, 0.16197718631178705, 2880
17, 4, 0.35589353612167304, 2880
18, 1, 0.03878326996197718, 4320
19, 2, 0.10038022813688207, 4320
20, 4, 0.39923954372623575, 4320
21, 1, 0.05703422053231936, 4320
22, 2, 0.07300380228136883, 4320
23, 4, 0.40152091254752855, 4320
