Index,Dose,Measure,Time
0, 0, 0.009101796407185638, 1641
1, 0, 0.006706586826347314, 3312
2, 0, 0.00383233532934133, 4982
3, 0, 0.0000383233532934133, 6667
4, 0, 0.43113772455089894, 10080
5, 0.2, 0.02059880239520959, 1569
6, 0.2, 0.016287425149700612, 2462
7, 0.2, 0.013413173652694619, 3296
8, 0.2, 0.011976047904191622, 4982.4
9, 0.2, 0.010059880239520966, 6624
10, 0.2, 0.009101796407185638, 10036.8
11, 0.3, 0.029221556886227553, 1569
12, 0.3, 0.02203592814371259, 2390
13, 0.3, 0.019161676646706596, 3254
14, 0.3, 0.013892215568862287, 4982
15, 0.3, 0.011976047904191622, 6624
16, 0.3, 0.010538922155688635, 10036
17, 0.5, 0.05796407185628743, 1460
18, 0.5, 0.05125748502994012, 2322
19, 0.5, 0.04311377245508983, 3182
20, 0.5, 0.04694610778443115, 4824
21, 0.5, 0.029700598802395213, 6519
22, 0.5, 0.024431137724550913, 9891
23, 0, 0.002424242424242422, 2865.6
24, 0, 0.001939393939393934, 3600
25, 0, 0.002424242424242422, 4320
26, 0, 0.002424242424242422, 5716
27, 0, 0.0014545454545454461, 7185
28, 0, 0.001939393939393934, 10080
29, 0.2, 0.009696969696969688, 2836
30, 0.2, 0.009212121212121218, 3556.8
31, 0.2, 0.012121212121212128, 4291
32, 0.2, 0.010666666666666664, 5716
33, 0.2, 0.007272727272727266, 7156
34, 0.2, 0.012121212121212128, 10036
35, 0.3, 0.024727272727272727, 2764
36, 0.3, 0.02375757575757576, 3528
37, 0.3, 0.025696969696969703, 4233
38, 0.3, 0.015999999999999996, 5688
39, 0.3, 0.02666666666666667, 7084
40, 0.3, 0.01793939393939394, 9979
41, 0.4, 0.04557575757575758, 2736
42, 0.4, 0.04654545454545454, 3477
43, 0.4, 0.04121212121212121, 4204
44, 0.4, 0.031030303030303035, 5601
45, 0.4, 0.04072727272727273, 7056
46, 0.4, 0.033939393939393936, 9957
47, 0.5, 0.06012121212121213, 2707
48, 0.5, 0.060606060606060606, 3412
49, 0.5, 0.05818181818181818, 4176
50, 0.5, 0.05866666666666667, 5572
51, 0.5, 0.036848484848484846, 7007
52, 0.5, 0.027151515151515158, 9927
53, 0, 0.05325443786982191, 2620
54, 0, 0.05325443786982191, 3571
55, 0, 0.035502958579882034, 4291
56, 0, 0.035502958579882034, 5731
57, 0, 0.035502958579882034, 7185
58, 0, 0.035502958579882034, 10080
59, 1, 0.21301775147928993, 2779
60, 1, 0.21301775147928993, 3513
61, 1, 0.24852071005917196, 4233
62, 1, 0.17751479289940903, 5644
63, 1, 0.1952662721893489, 7128
64, 1, 0.12426035502958598, 10008
65, 2, 0.6213017751479288, 2734
66, 2, 0.7810650887573968, 3474
67, 2, 0.6568047337278108, 4176
68, 2, 0.4970414201183439, 5616
69, 2, 0.4437869822485209, 7056
70, 2, 0.3727810650887568, 9950
71, 3, 1.3491124260355036, 2678
72, 3, 1.5088757396449705, 3427
73, 3, 1.4556213017751486, 4176
74, 3, 1.1715976331360946, 5587
75, 3, 1.2071005917159766, 7099
76, 3, 0.9763313609467457, 9933
77, 4, 2.4497041420118342, 2678
78, 4, 2.538461538461538, 3414
79, 4, 1.8994082840236683, 4118
80, 4, 1.5266272189349115, 5558
81, 4, 1.6863905325443784, 6984
82, 4, 1.4378698224852076, 9864
83, 0, -0.0018349721762371018, 2865
84, 0, 0.019307098549973034, 3614
85, 0, -0.0036699443524742037, 4305
86, 0, -0.005544807228195054, 5774
87, 0, -0.007379779404432156, 7200
88, 0, -0.01100983305742261, 10036
89, 1, 0.16391088417735375, 2865
90, 1, 0.08568522249037642, 3614
91, 1, 0.1289267407303987, 4305
92, 1, 0.16024093982487955, 5774
93, 1, 0.1252567963779245, 7200
94, 1, 0.1215868520254503, 10036
95, 2, 0.37393541695753584, 2865
96, 2, 0.3509184833556054, 3614
97, 2, 0.18425514091389516, 4305
98, 2, 0.25976823503600144, 5774
99, 2, 0.3131419909448107, 7200
100, 2, 0.232163870993478, 10036
101, 3, 0.9596106667730419, 2865
102, 3, 0.8813451143865808, 3614
103, 3, 0.9688653090531943, 4305
104, 3, 0.9670303368769572, 5774
105, 3, 0.7441609988631149, 7200
106, 3, 0.652093264455392, 10036
107, 4, 1.6337235973432792, 2865
108, 4, 1.5664678780142407, 3614
109, 4, 1.709196800765901, 4305
110, 4, 1.464307796637214, 5774
111, 4, 1.2193390111095596, 7200
112, 4, 1.0057243153758708, 10036
